Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,carbon_footprint_kg_CO2_ha
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41,1811.6628580089607
99,Algeria,Maize,1990,16500,89.0,1828.92,17.48,2394.931692119426
100,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,2003.441203157668
101,Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,1123.9139260119366
102,Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,1824.1239495610334
103,Algeria,Wheat,1990,6315,89.0,1828.92,17.48,2178.9998240833343
104,Algeria,Maize,1991,19231,89.0,2461.8,16.26,2368.4495449866017
105,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,2145.6592668847866
106,Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,1105.459453118931
107,Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,1863.4232262832504
108,Algeria,Wheat,1991,10809,89.0,2461.8,16.26,1916.8053152920181
109,Algeria,Maize,1992,22828,89.0,1215.47,16.27,2479.6563692835193
110,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,2231.22163985942
111,Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,1212.684984170347
112,Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,1670.9916219758857
113,Algeria,Wheat,1992,9939,89.0,1215.47,16.27,2099.551898523068
114,Algeria,Maize,1993,12500,89.0,1021.89,17.0,2641.179568728299
115,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,2265.439194380813
116,Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,1305.8137652946925
117,Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,1862.4339398757838
118,Algeria,Wheat,1993,8097,89.0,1021.89,17.0,2136.620646356034
119,Algeria,Maize,1994,4512,89.0,1255.02,17.88,2481.9452184033594
120,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,2012.3339372837718
121,Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,1022.8577855004041
122,Algeria,Wheat,1994,7999,89.0,1255.02,17.88,2102.7655148793233
123,Algeria,Maize,1995,16115,89.0,2697.09,17.36,2508.3839074929274
124,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,2030.802273645884
125,Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,1284.80532210412
126,Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,1631.1916350972112
127,Algeria,Wheat,1995,8924,89.0,2697.09,17.36,1880.6008829719751
128,Algeria,Maize,1996,17154,89.0,479.77,16.76,2453.3380548627897
129,Algeria,Potatoes,1996,134629,89.0,479.77,16.76,2241.5283646690605
130,Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,1045.877182933601
131,Algeria,Sorghum,1996,14750,89.0,479.77,16.76,1722.8882112214521
132,Algeria,Wheat,1996,13090,89.0,479.77,16.76,1835.9299695850818
133,Algeria,Maize,1997,21417,89.0,401.22,17.84,2370.435109194336
134,Algeria,Potatoes,1997,141042,89.0,401.22,17.84,2143.47441184133
135,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,1031.5023887894968
136,Algeria,Sorghum,1997,40000,89.0,401.22,17.84,1714.02784745068
137,Algeria,Wheat,1997,8016,89.0,401.22,17.84,2061.9295034454913
138,Algeria,Maize,1998,17222,89.0,322.84,17.14,2439.448572390677
139,Algeria,Potatoes,1998,160256,89.0,322.84,17.14,2205.4022374245337
140,Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,1149.7909690059573
141,Algeria,Sorghum,1998,24500,89.0,322.84,17.14,1658.0217596272455
142,Algeria,Wheat,1998,8847,89.0,322.84,17.14,2008.8297747071579
143,Algeria,Maize,1999,22375,89.0,654.45,17.97,2696.6592048216517
144,Algeria,Potatoes,1999,153532,89.0,654.45,17.97,2231.427469405631
145,Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,1288.333340248871
146,Algeria,Sorghum,1999,27000,89.0,654.45,17.97,1993.956802400686
147,Algeria,Wheat,1999,10711,89.0,654.45,17.97,1983.5233690071218
148,Algeria,Maize,2000,36186,89.0,603.67,17.9,2414.765521101216
149,Algeria,Potatoes,2000,166143,89.0,603.67,17.9,2379.1198421622503
150,Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,1368.3397294872623
151,Algeria,Sorghum,2000,69500,89.0,603.67,17.9,1876.1971065453943
152,Algeria,Wheat,2000,9194,89.0,603.67,17.9,2144.6962097752294
153,Algeria,Maize,2001,27175,89.0,710.11,18.13,2455.572012713609
154,Algeria,Potatoes,2001,147018,89.0,710.11,18.13,2266.8751395995932
155,Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,1398.7939604582527
156,Algeria,Sorghum,2001,27750,89.0,710.11,18.13,1651.422471373458
157,Algeria,Wheat,2001,11104,89.0,710.11,18.13,2036.874628619471
158,Algeria,Maize,2002,33480,89.0,816.55,17.85,2321.8747680341157
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85,2133.527108212411
160,Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,1292.836442361685
161,Algeria,Sorghum,2002,33900,89.0,816.55,17.85,1834.189408426502
162,Algeria,Wheat,2002,10739,89.0,816.55,17.85,1807.437868643226
163,Algeria,Maize,2004,31729,89.0,3747.86,17.38,2507.5678048792483
164,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,2197.3943402566297
165,Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,1111.159525984054
166,Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,1881.247341222516
167,Algeria,Wheat,2004,13582,89.0,3747.86,17.38,2102.610310354543
168,Algeria,Maize,2005,33864,89.0,3662.87,17.19,2335.2293353193336
169,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,2191.7979806753547
170,Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,1046.8830673158361
171,Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,1902.4741001328318
172,Algeria,Wheat,2005,15057,89.0,3662.87,17.19,1996.8233189117714
173,Algeria,Maize,2006,65668,89.0,4110.72,18.13,2695.929411643808
174,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,2233.325312932869
175,Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,1362.3811241212015
176,Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,1764.8104398927708
177,Algeria,Wheat,2006,15068,89.0,4110.72,18.13,2005.507638381249
178,Algeria,Maize,2007,85625,89.0,5390.79,17.42,2424.483143250194
179,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,2285.0169664831005
180,Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,1049.539987542931
181,Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,1805.8121961785025
182,Algeria,Wheat,2007,12742,89.0,5390.79,17.42,1835.6275861437025
183,Algeria,Maize,2008,44714,89.0,11556.12,17.55,2487.7920586746245
184,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,2324.425644794929
185,Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,1063.885914356669
186,Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,1737.346691305068
187,Algeria,Wheat,2008,11038,89.0,11556.12,17.55,2118.594219026989
188,Algeria,Maize,2009,30914,89.0,3867.99,17.78,2415.509347690964
189,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,2016.0735780044427
190,Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,1142.0516649971207
191,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,1791.6471100460456
192,Algeria,Wheat,2009,15975,89.0,3867.99,17.78,1813.8170201374407
193,Algeria,Maize,2010,25827,89.0,1295.88,17.59,2603.6992361480707
194,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,2326.1528168104755
195,Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,1109.1705886191387
196,Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,1950.1808973746863
197,Algeria,Wheat,2010,14838,89.0,1295.88,17.59,2033.7408273800029
198,Algeria,Maize,2011,23374,89.0,13861.76,17.79,2340.3372860732434
199,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,2247.503448654139
200,Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,1163.737981229173
201,Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,1779.887923221228
202,Algeria,Wheat,2011,17405,89.0,13861.76,17.79,2192.4757732350336
203,Algeria,Maize,2012,25583,89.0,17379.76,17.91,2563.3389145906385
204,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,2365.175635691037
205,Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,1249.66235706449
206,Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,1943.329164888286
207,Algeria,Wheat,2012,17639,89.0,17379.76,17.91,2114.7914077377395
208,Algeria,Maize,2013,33649,89.0,17278.65,17.65,2396.8400366440314
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,2071.8983167927404
210,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,1371.9890183778302
211,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,1749.8369725405003
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65,1992.3541478738232
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12,1192.3867529384304
214,Angola,Maize,1990,2736,1010.0,64.0,24.12,2616.172234049393
215,Angola,Potatoes,1990,40000,1010.0,64.0,24.12,2133.5548181491595
216,Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,1390.3036779132585
217,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,1157.833205288067
218,Angola,Wheat,1990,7995,1010.0,64.0,24.12,2108.467273189583
219,Angola,Cassava,1991,40295,1010.0,79.0,24.02,1249.4860088443138
220,Angola,Maize,1991,4013,1010.0,79.0,24.02,2650.971404438648
221,Angola,Potatoes,1991,40000,1010.0,79.0,24.02,2127.1408032527324
222,Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02,1064.8274269207404
223,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02,1205.36625038695
224,Angola,Wheat,1991,8000,1010.0,79.0,24.02,1833.8233078390408
225,Angola,Cassava,1992,42295,1010.0,23.0,23.96,1047.5280749165008
226,Angola,Maize,1992,3778,1010.0,23.0,23.96,2327.616764794069
227,Angola,Potatoes,1992,40000,1010.0,23.0,23.96,2352.3542536829673
228,Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96,1354.6106807757237
229,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96,1257.0683287819086
230,Angola,Wheat,1992,8000,1010.0,23.0,23.96,1887.5225186982416
231,Angola,Cassava,1993,42295,1010.0,169.0,24.15,1055.3041229357068
232,Angola,Maize,1993,2627,1010.0,169.0,24.15,2398.2430006490595
233,Angola,Potatoes,1993,70000,1010.0,169.0,24.15,2390.479459222511
234,Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15,1344.482521139236
235,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15,1280.24036872629
236,Angola,Wheat,1993,8876,1010.0,169.0,24.15,2139.1767843342495
237,Angola,Cassava,1994,58596,1010.0,25.5,24.04,1381.2178585824022
238,Angola,Maize,1994,2463,1010.0,25.5,24.04,2570.6313590172854
239,Angola,Potatoes,1994,90000,1010.0,25.5,24.04,2084.3272875488847
240,Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04,1305.6364662223864
241,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04,1173.4873915613493
242,Angola,Wheat,1994,10000,1010.0,25.5,24.04,2066.706961157131
243,Angola,Cassava,1995,51000,1010.0,336.0,24.56,1201.1392804375328
244,Angola,Maize,1995,3517,1010.0,336.0,24.56,2509.1574658175664
245,Angola,Potatoes,1995,76738,1010.0,336.0,24.56,2186.0226932303754
246,Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56,1220.597659865788
247,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56,1196.478488623632
248,Angola,Wheat,1995,11855,1010.0,336.0,24.56,2137.4736910545457
249,Angola,Cassava,1996,48077,1010.0,40.0,24.11,1174.9019424271144
250,Angola,Maize,1996,6993,1010.0,40.0,24.11,2486.745787122235
251,Angola,Potatoes,1996,70000,1010.0,40.0,24.11,2161.0218757883204
252,Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11,1070.4052799459853
253,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11,1274.502620921785
254,Angola,Wheat,1996,13738,1010.0,40.0,24.11,1832.2479103245746
255,Angola,Cassava,1997,44205,1010.0,40.0,24.06,1265.406793025786
256,Angola,Maize,1997,5959,1010.0,40.0,24.06,2349.9760016048563
257,Angola,Potatoes,1997,68571,1010.0,40.0,24.06,2102.2019929944277
258,Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06,1030.038272188154
259,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06,1071.9711402048565
260,Angola,Wheat,1997,15509,1010.0,40.0,24.06,1907.3104072994304
261,Angola,Cassava,1998,55728,1010.0,40.0,24.96,1200.7227723733033
262,Angola,Maize,1998,7396,1010.0,40.0,24.96,2617.4135103897997
263,Angola,Potatoes,1998,62724,1010.0,40.0,24.96,2388.403976918851
264,Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96,1309.8553765441607
265,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96,1331.8454538388141
266,Angola,Wheat,1998,17143,1010.0,40.0,24.96,2057.99542459832
267,Angola,Cassava,1999,59821,1010.0,40.0,24.37,1272.5624494066744
268,Angola,Maize,1999,6361,1010.0,40.0,24.37,2633.955092647149
269,Angola,Potatoes,1999,54597,1010.0,40.0,24.37,2286.912128189887
270,Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37,1155.004567492996
271,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37,1192.1441410796328
272,Angola,Wheat,1999,17391,1010.0,40.0,24.37,1931.3769157175675
273,Angola,Cassava,2000,82992,1010.0,40.0,24.41,1280.9443534659572
274,Angola,Maize,2000,5745,1010.0,40.0,24.41,2475.1095362401447
275,Angola,Potatoes,2000,29885,1010.0,40.0,24.41,2399.9002840893845
276,Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41,1049.4083408830834
277,Angola,Sorghum,2000,3333,1010.0,40.0,24.41,1990.0240078645452
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41,1586.023758786849
279,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41,1114.767424567479
280,Angola,Wheat,2000,17023,1010.0,40.0,24.41,2182.9059056471738
281,Angola,Cassava,2001,94072,1010.0,40.0,24.43,1078.6887219684527
282,Angola,Maize,2001,5754,1010.0,40.0,24.43,2574.655829281026
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43,2076.3260791680327
284,Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43,1034.5660698858087
285,Angola,Sorghum,2001,3571,1010.0,40.0,24.43,1702.2168148457638
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43,1415.2443604480395
287,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43,1080.0424351602837
288,Angola,Wheat,2001,16667,1010.0,40.0,24.43,2022.3999747398416
289,Angola,Cassava,2002,110071,1010.0,40.0,24.79,1010.6459235634329
290,Angola,Maize,2002,6706,1010.0,40.0,24.79,2607.424913200297
291,Angola,Potatoes,2002,42754,1010.0,40.0,24.79,2109.985802528748
292,Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79,1332.9781822953928
293,Angola,Sorghum,2002,3400,1010.0,40.0,24.79,1877.5079153414458
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79,1552.800678837152
295,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79,1136.0033999724626
296,Angola,Wheat,2002,15455,1010.0,40.0,24.79,1921.1449731139264
297,Angola,Cassava,2004,125605,1010.0,40.0,24.22,1109.9189314395278
298,Angola,Maize,2004,5404,1010.0,40.0,24.22,2601.3693737663684
299,Angola,Potatoes,2004,20150,1010.0,40.0,24.22,2178.9513137754902
300,Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22,1359.1115330505986
301,Angola,Sorghum,2004,3333,1010.0,40.0,24.22,1959.38316227124
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22,1687.961286347613
303,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22,1252.6582156703819
304,Angola,Wheat,2004,12442,1010.0,40.0,24.22,1967.8618401571362
305,Angola,Cassava,2005,117628,1010.0,40.0,24.41,1193.8351823449943
306,Angola,Maize,2005,6736,1010.0,40.0,24.41,2314.810354899274
307,Angola,Potatoes,2005,23646,1010.0,40.0,24.41,2102.5178337796615
308,Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41,1092.9809148181123
309,Angola,Sorghum,2005,3333,1010.0,40.0,24.41,1710.4194381095408
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41,1675.1767737051082
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41,1119.9588710426224
312,Angola,Wheat,2005,10946,1010.0,40.0,24.41,1814.5703360522302
313,Angola,Cassava,2006,117201,1010.0,40.0,24.14,1148.8472587270085
314,Angola,Maize,2006,4687,1010.0,40.0,24.14,2628.2828567171046
315,Angola,Potatoes,2006,52148,1010.0,40.0,24.14,2163.216914055515
316,Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14,1286.754053444295
317,Angola,Sorghum,2006,4091,1010.0,40.0,24.14,1661.996782501084
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14,1357.3132552668617
319,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14,1036.0253005730892
320,Angola,Wheat,2006,10000,1010.0,40.0,24.14,2122.475391109577
321,Angola,Cassava,2007,115387,1010.0,40.0,24.24,1265.8670474541586
322,Angola,Maize,2007,5091,1010.0,40.0,24.24,2307.829078399525
323,Angola,Potatoes,2007,62138,1010.0,40.0,24.24,2153.8635211011665
324,Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24,1357.703260562219
325,Angola,Sorghum,2007,4031,1010.0,40.0,24.24,1794.6366816914326
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24,1423.6414356264786
327,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24,1335.1321721265817
328,Angola,Wheat,2007,10000,1010.0,40.0,24.24,2149.4217327310157
329,Angola,Cassava,2008,148084,1010.0,40.0,24.27,1212.3933447529785
330,Angola,Maize,2008,7946,1010.0,40.0,24.27,2582.5994178415963
331,Angola,Potatoes,2008,85085,1010.0,40.0,24.27,2176.0102414636685
332,Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27,1086.4861065071402
333,Angola,Sorghum,2008,929,1010.0,40.0,24.27,1840.8749112655928
334,Angola,Soybeans,2008,8575,1010.0,40.0,24.27,1379.5264226483569
335,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27,1287.076660292506
336,Angola,Wheat,2008,10000,1010.0,40.0,24.27,1890.07533227909
337,Angola,Cassava,2009,151759,1010.0,40.0,24.33,1079.1187039433105
338,Angola,Maize,2009,6614,1010.0,40.0,24.33,2335.888692478085
339,Angola,Potatoes,2009,86509,1010.0,40.0,24.33,2058.8068838260792
340,Angola,"Rice, paddy",2009,6028,1010.0,40.0,24.33,1046.296048403039
341,Angola,Sorghum,2009,2480,1010.0,40.0,24.33,1734.9985361437514
342,Angola,Soybeans,2009,4449,1010.0,40.0,24.33,1453.862745946444
343,Angola,Sweet potatoes,2009,66475,1010.0,40.0,24.33,1085.496756502691
344,Angola,Wheat,2009,10000,1010.0,40.0,24.33,1833.1726529753228
345,Angola,Cassava,2010,155782,1010.0,40.0,24.44,1290.7850862103878
346,Angola,Maize,2010,7200,1010.0,40.0,24.44,2553.762827399638
